order_id,user_id,order_date,category,order_value,delivery_time,coupon_used
O000001,U07008,2025-03-18,Vegetables,335,13,Yes
O000002,U03234,2025-07-06,Dairy,1068,15,Yes
O000003,U04793,2025-07-07,Household,470,17,Yes
O000004,U02048,2025-04-27,Dairy,816,30,No
O000005,U08449,2025-02-22,Snacks,106,24,No
O000006,U01167,2025-02-22,Personal Care,663,24,Yes
O000007,U02968,2025-09-04,Personal Care,409,26,Yes
O000008,U01960,2025-08-16,Dairy,658,29,Yes
O000009,U05049,2025-08-01,Household,381,10,Yes
O000010,U06142,2025-05-28,Dairy,522,30,No
O000011,U03142,2025-12-06,Vegetables,388,11,Yes
O000012,U05058,2025-07-30,Vegetables,262,23,No
O000013,U05073,2025-12-16,Fruits,1139,34,No
O000014,U03015,2025-03-21,Dairy,495,23,Yes
O000015,U08259,2025-05-12,Personal Care,1143,14,Yes
O000016,U09086,2025-09-24,Fruits,447,31,No
O000017,U03020,2025-03-18,Fruits,211,33,No
O000018,U00696,2025-03-24,Dairy,681,10,No
O000019,U05960,2025-08-09,Fruits,1173,29,Yes
O000020,U06444,2025-09-24,Household,630,23,Yes
O000021,U00445,2025-07-04,Household,935,23,No
O000022,U01818,2025-09-10,Vegetables,272,12,No
O000023,U04417,2025-11-04,Vegetables,127,9,No
O000024,U01793,2025-10-18,Vegetables,978,24,Yes
O000025,U03331,2025-10-13,Fruits,942,18,Yes
O000026,U04714,2025-03-26,Vegetables,1018,23,Yes
O000027,U09944,2025-01-01,Vegetables,886,15,No
O000028,U00204,2025-09-17,Personal Care,116,24,No
O000029,U09294,2025-06-04,Fruits,970,15,No
O000030,U05096,2025-08-29,Snacks,656,17,No
O000031,U01639,2025-01-17,Dairy,915,16,No
O000032,U00545,2025-02-12,Fruits,680,19,Yes
O000033,U07793,2025-10-30,Vegetables,719,16,Yes
O000034,U08213,2025-09-26,Dairy,937,28,No
O000035,U00655,2025-08-21,Dairy,329,18,No
O000036,U07100,2025-06-17,Personal Care,868,13,No
O000037,U04832,2025-06-09,Fruits,924,22,No
O000038,U01765,2025-10-26,Personal Care,183,13,Yes
O000039,U09973,2025-01-10,Personal Care,740,18,Yes
O000040,U07775,2025-10-20,Household,421,34,No
O000041,U04915,2025-09-20,Fruits,127,20,Yes
O000042,U02018,2025-09-24,Personal Care,232,24,Yes
O000043,U00491,2025-12-27,Dairy,588,19,No
O000044,U03692,2025-04-22,Household,1166,30,Yes
O000045,U03019,2025-11-09,Fruits,118,33,Yes
O000046,U08052,2025-03-20,Dairy,425,8,Yes
O000047,U07524,2025-09-30,Personal Care,1185,28,Yes
O000048,U03061,2025-11-18,Fruits,620,23,Yes
O000049,U01161,2025-09-13,Household,776,13,No
O000050,U08479,2025-04-14,Dairy,701,20,No
O000051,U01693,2025-11-10,Personal Care,943,24,Yes
O000052,U02381,2025-02-17,Dairy,189,19,Yes
O000053,U01618,2025-03-04,Household,298,14,No
O000054,U02427,2025-09-14,Snacks,433,18,Yes
O000055,U03739,2025-10-22,Vegetables,1119,8,No
O000056,U00416,2025-07-16,Vegetables,489,26,No
O000057,U08456,2025-06-24,Fruits,601,25,No
O000058,U04045,2025-08-29,Household,466,16,No
O000059,U02706,2025-05-02,Dairy,387,14,No
O000060,U03738,2025-05-25,Dairy,378,34,No
O000061,U00080,2025-04-24,Dairy,172,17,No
O000062,U09454,2025-05-25,Household,758,28,Yes
O000063,U06893,2025-01-30,Dairy,448,14,No
O000064,U03873,2025-04-13,Fruits,369,31,No
O000065,U04639,2025-09-10,Dairy,662,28,Yes
O000066,U00399,2025-01-11,Snacks,274,21,No
O000067,U01191,2025-04-17,Personal Care,1184,27,No
O000068,U03360,2025-01-06,Dairy,618,12,No
O000069,U01005,2025-04-30,Snacks,353,19,No
O000070,U04266,2025-06-18,Household,477,23,No
O000071,U02956,2025-06-26,Personal Care,318,18,No
O000072,U09891,2025-08-22,Vegetables,741,25,No
O000073,U05724,2025-04-11,Household,811,8,No
O000074,U02400,2025-10-05,Snacks,1166,30,Yes
O000075,U01139,2025-01-21,Vegetables,760,34,Yes
O000076,U03290,2025-04-12,Fruits,588,22,No
O000077,U00958,2025-12-24,Vegetables,512,9,Yes
O000078,U03786,2025-11-04,Snacks,386,30,No
O000079,U00151,2025-09-16,Fruits,405,9,No
O000080,U04821,2025-02-04,Dairy,606,15,No
O000081,U05140,2025-05-02,Snacks,299,21,No
O000082,U05850,2025-07-07,Household,1041,27,No
O000083,U04369,2025-04-02,Household,374,19,Yes
O000084,U06468,2025-01-24,Fruits,120,10,Yes
O000085,U02126,2025-03-15,Fruits,161,23,No
O000086,U07374,2025-01-31,Snacks,1095,29,No
O000087,U02831,2025-09-12,Fruits,1175,24,No
O000088,U07493,2025-10-29,Fruits,598,15,No
O000089,U05519,2025-10-31,Snacks,495,30,No
O000090,U04468,2025-03-27,Vegetables,349,31,No
O000091,U05356,2025-05-31,Dairy,1003,14,No
O000092,U08610,2025-08-31,Fruits,777,23,Yes
O000093,U07696,2025-01-23,Dairy,516,9,No
O000094,U08263,2025-04-06,Snacks,839,22,Yes
O000095,U05313,2025-05-17,Household,1155,15,No
O000096,U03379,2025-10-08,Snacks,975,18,No
O000097,U08150,2025-01-29,Vegetables,685,13,No
O000098,U04360,2025-06-24,Household,379,8,No
O000099,U03046,2025-03-30,Household,229,11,No
O000100,U03329,2025-01-14,Personal Care,1057,15,No
O000101,U07999,2025-07-15,Vegetables,761,32,Yes
O000102,U05848,2025-04-30,Vegetables,434,22,Yes
O000103,U05988,2025-01-05,Personal Care,956,31,Yes
O000104,U02367,2025-11-30,Dairy,786,30,Yes
O000105,U00746,2025-05-09,Snacks,351,18,Yes
O000106,U04603,2025-10-13,Personal Care,1119,10,No
O000107,U06971,2025-10-10,Fruits,115,22,Yes
O000108,U04738,2025-05-29,Dairy,449,11,Yes
O000109,U04192,2025-06-16,Household,1034,18,No
O000110,U09943,2025-05-19,Snacks,1082,12,No
O000111,U06176,2025-07-07,Personal Care,1076,10,No
O000112,U05699,2025-10-25,Dairy,628,23,No
O000113,U03058,2025-02-14,Personal Care,357,19,Yes
O000114,U08050,2025-07-12,Vegetables,902,15,Yes
O000115,U04579,2025-06-14,Fruits,428,27,No
O000116,U08796,2025-02-07,Household,1087,17,No
O000117,U02516,2025-10-10,Snacks,709,20,No
O000118,U07062,2025-11-20,Vegetables,1011,23,No
O000119,U08833,2025-03-07,Snacks,671,10,No
O000120,U00426,2025-11-18,Personal Care,884,28,No
O000121,U07816,2025-10-28,Personal Care,1105,27,No
O000122,U02027,2025-06-07,Dairy,356,26,Yes
O000123,U01494,2025-12-18,Dairy,604,32,No
O000124,U09048,2025-02-02,Snacks,658,13,Yes
O000125,U01684,2025-05-29,Dairy,269,18,Yes
O000126,U01185,2025-02-21,Vegetables,734,26,Yes
O000127,U05294,2025-04-20,Household,659,32,No
O000128,U02724,2025-03-26,Fruits,386,17,No
O000129,U03272,2025-01-14,Snacks,717,25,No
O000130,U07774,2025-09-05,Dairy,1052,21,Yes
O000131,U02768,2025-02-24,Fruits,732,15,No
O000132,U07887,2025-10-02,Snacks,801,25,Yes
O000133,U03501,2025-07-08,Fruits,149,33,No
O000134,U04170,2025-09-24,Vegetables,701,30,No
O000135,U03103,2025-01-03,Personal Care,345,26,Yes
O000136,U08467,2025-04-10,Fruits,1070,23,Yes
O000137,U09016,2025-03-25,Household,905,21,Yes
O000138,U06399,2025-06-26,Snacks,792,10,Yes
O000139,U07489,2025-09-18,Vegetables,723,12,No
O000140,U06028,2025-07-13,Snacks,960,31,No
O000141,U03417,2025-08-25,Dairy,1145,18,No
O000142,U08032,2025-04-14,Dairy,337,9,No
O000143,U07436,2025-10-10,Fruits,386,16,No
O000144,U05843,2025-03-15,Snacks,838,12,No
O000145,U01493,2025-04-15,Household,1163,21,No
O000146,U01324,2025-06-30,Household,877,11,No
O000147,U00203,2025-07-20,Household,511,30,No
O000148,U02649,2025-04-07,Vegetables,506,23,No
O000149,U07809,2025-07-10,Dairy,409,19,Yes
O000150,U07395,2025-06-16,Snacks,574,22,Yes
O000151,U02153,2025-11-09,Dairy,143,30,No
O000152,U03675,2025-07-14,Household,734,10,No
O000153,U08910,2025-01-14,Personal Care,1185,25,No
O000154,U03895,2025-02-24,Personal Care,260,14,No
O000155,U05104,2025-06-26,Personal Care,645,31,No
O000156,U08067,2025-12-29,Fruits,658,20,Yes
O000157,U09279,2025-10-23,Household,430,15,No
O000158,U04201,2025-08-26,Household,1010,34,No
O000159,U06685,2025-02-01,Personal Care,886,34,No
O000160,U00273,2025-07-07,Household,112,14,Yes
O000161,U09329,2025-08-04,Snacks,490,11,No
O000162,U05508,2025-11-30,Vegetables,785,33,No
O000163,U06718,2025-07-17,Personal Care,152,25,Yes
O000164,U08558,2025-03-31,Household,486,19,No
O000165,U04558,2025-08-03,Snacks,433,30,No
O000166,U01486,2025-12-20,Snacks,1066,11,Yes
O000167,U01609,2025-10-21,Household,802,10,No
O000168,U04930,2025-08-07,Vegetables,107,29,No
O000169,U03333,2025-12-30,Household,397,30,No
O000170,U00736,2025-03-06,Vegetables,1052,29,Yes
O000171,U07593,2025-04-16,Vegetables,822,13,Yes
O000172,U02441,2025-01-01,Household,576,24,No
O000173,U09324,2025-09-17,Snacks,345,8,No
O000174,U00452,2025-03-15,Personal Care,1089,19,No
O000175,U02499,2025-03-16,Dairy,1152,23,Yes
O000176,U07189,2025-05-12,Dairy,141,10,No
O000177,U03111,2025-05-01,Personal Care,1067,16,No
O000178,U09848,2025-08-29,Snacks,1019,17,Yes
O000179,U08926,2025-10-09,Personal Care,691,8,No
O000180,U01217,2025-08-26,Fruits,596,29,Yes
O000181,U01680,2025-11-14,Vegetables,247,11,No
O000182,U05881,2025-06-24,Personal Care,616,32,Yes
O000183,U03283,2025-03-04,Snacks,501,10,No
O000184,U09303,2025-02-18,Fruits,158,11,No
O000185,U01698,2025-09-19,Snacks,1049,15,No
O000186,U06130,2025-09-17,Snacks,436,9,Yes
O000187,U03685,2025-11-13,Personal Care,227,18,Yes
O000188,U07575,2025-10-09,Fruits,1145,9,No
O000189,U04192,2025-09-08,Snacks,353,31,No
O000190,U05328,2025-04-20,Personal Care,705,30,No
O000191,U01219,2025-08-06,Dairy,360,8,No
O000192,U07131,2025-06-04,Personal Care,712,9,No
O000193,U06278,2025-05-30,Dairy,783,29,No
O000194,U01102,2025-02-07,Household,149,11,No
O000195,U08073,2025-01-08,Fruits,1100,23,Yes
O000196,U03634,2025-07-10,Personal Care,1073,21,Yes
O000197,U07660,2025-05-20,Personal Care,192,12,No
O000198,U07744,2025-01-19,Personal Care,885,19,Yes
O000199,U05043,2025-05-28,Snacks,726,9,Yes
O000200,U04645,2025-10-16,Personal Care,1086,27,No
O000201,U05070,2025-12-20,Household,1103,22,No
O000202,U09818,2025-01-20,Vegetables,322,9,Yes
O000203,U05064,2025-10-04,Dairy,1118,22,No
O000204,U09124,2025-11-02,Personal Care,299,29,Yes
O000205,U00734,2025-02-03,Fruits,450,14,Yes
O000206,U06928,2025-01-28,Dairy,863,25,Yes
O000207,U02229,2025-11-05,Dairy,1058,13,No
O000208,U07546,2025-05-20,Fruits,956,19,Yes
O000209,U07647,2025-07-05,Dairy,148,19,No
O000210,U00159,2025-03-27,Fruits,789,14,Yes
O000211,U02723,2025-02-23,Personal Care,230,31,No
O000212,U08613,2025-03-06,Fruits,835,18,No
O000213,U08142,2025-02-20,Snacks,1153,13,No
O000214,U07417,2025-09-27,Household,425,16,Yes
O000215,U03823,2025-10-20,Vegetables,542,16,No
O000216,U01086,2025-10-11,Vegetables,708,21,Yes
O000217,U00167,2025-04-12,Personal Care,615,27,No
O000218,U06361,2025-09-20,Vegetables,543,19,Yes
O000219,U07167,2025-01-31,Vegetables,409,22,Yes
O000220,U00247,2025-05-12,Dairy,630,24,No
O000221,U06813,2025-01-27,Fruits,734,11,Yes
O000222,U03840,2025-10-22,Vegetables,743,8,Yes
O000223,U05128,2025-01-24,Dairy,1112,25,No
O000224,U09576,2025-10-17,Personal Care,281,23,Yes
O000225,U03486,2025-05-09,Vegetables,863,31,Yes
O000226,U08617,2025-04-18,Dairy,441,19,Yes
O000227,U02703,2025-03-28,Vegetables,575,20,Yes
O000228,U06071,2025-12-13,Household,647,29,No
O000229,U07501,2025-02-25,Snacks,776,17,No
O000230,U01969,2025-03-19,Dairy,875,32,No
O000231,U04109,2025-11-27,Vegetables,623,26,Yes
O000232,U03602,2025-03-02,Fruits,465,17,No
O000233,U08121,2025-06-01,Fruits,684,25,Yes
O000234,U01032,2025-02-26,Fruits,853,18,No
O000235,U07944,2025-09-10,Personal Care,584,25,No
O000236,U01084,2025-04-26,Vegetables,849,34,No
O000237,U06771,2025-02-20,Vegetables,352,16,No
O000238,U08748,2025-03-15,Dairy,741,15,No
O000239,U00104,2025-03-05,Dairy,171,10,Yes
O000240,U01459,2025-07-02,Personal Care,126,11,No
O000241,U01236,2025-09-03,Snacks,911,34,No
O000242,U01251,2025-05-26,Personal Care,712,22,Yes
O000243,U05256,2025-04-12,Household,121,9,No
O000244,U01448,2025-05-03,Vegetables,949,15,Yes
O000245,U07116,2025-09-07,Fruits,1022,12,Yes
O000246,U01775,2025-02-17,Snacks,623,24,No
O000247,U08481,2025-08-22,Fruits,491,18,No
O000248,U01901,2025-08-17,Household,435,8,No
O000249,U04863,2025-05-16,Household,498,13,No
O000250,U08247,2025-04-11,Dairy,1112,32,No
O000251,U03385,2025-07-19,Dairy,1187,31,No
O000252,U02374,2025-05-17,Fruits,282,12,No
O000253,U04238,2025-05-16,Vegetables,810,24,No
O000254,U08412,2025-01-30,Vegetables,1098,13,No
O000255,U07705,2025-06-21,Fruits,749,23,No
O000256,U01959,2025-06-04,Snacks,620,18,Yes
O000257,U01303,2025-09-15,Household,683,9,Yes
O000258,U02731,2025-07-23,Personal Care,954,9,Yes
O000259,U09063,2025-01-24,Vegetables,778,29,Yes
O000260,U01169,2025-08-23,Household,1028,23,Yes
O000261,U01018,2025-02-22,Personal Care,125,18,No
O000262,U05916,2025-11-26,Vegetables,589,8,No
O000263,U02066,2025-02-28,Snacks,687,12,No
O000264,U01232,2025-05-26,Fruits,768,10,No
O000265,U01428,2025-08-24,Dairy,959,23,Yes
O000266,U04733,2025-03-12,Household,1143,14,No
O000267,U08535,2025-12-29,Fruits,764,16,No
O000268,U08345,2025-05-03,Fruits,521,30,Yes
O000269,U04975,2025-04-06,Snacks,768,13,Yes
O000270,U07046,2025-01-17,Vegetables,275,19,Yes
O000271,U04840,2025-12-05,Vegetables,240,18,No
O000272,U00157,2025-06-28,Household,112,11,No
O000273,U06153,2025-02-14,Vegetables,209,19,No
O000274,U03214,2025-12-27,Snacks,145,8,No
O000275,U07085,2025-03-02,Dairy,499,23,No
O000276,U00783,2025-04-14,Personal Care,458,17,No
O000277,U06000,2025-09-14,Household,1137,23,No
O000278,U04979,2025-10-13,Personal Care,372,13,Yes
O000279,U06445,2025-10-13,Vegetables,1142,16,Yes
O000280,U01216,2025-10-06,Fruits,620,19,No
O000281,U04396,2025-06-25,Vegetables,866,25,No
O000282,U03593,2025-07-25,Snacks,883,16,Yes
O000283,U00348,2025-04-20,Household,583,24,No
O000284,U02536,2025-02-21,Household,166,33,No
O000285,U01676,2025-02-03,Fruits,559,25,Yes
O000286,U04475,2025-06-09,Dairy,308,17,No
O000287,U05500,2025-11-28,Fruits,500,16,No
O000288,U09889,2025-03-19,Personal Care,283,24,No
O000289,U00724,2025-02-06,Personal Care,413,33,No
O000290,U07267,2025-07-30,Personal Care,699,31,Yes
O000291,U00906,2025-12-01,Vegetables,959,25,Yes
O000292,U09614,2025-07-02,Fruits,698,28,Yes
O000293,U02125,2025-12-09,Vegetables,227,25,No
O000294,U08186,2025-10-29,Personal Care,995,15,No
O000295,U05661,2025-01-30,Dairy,916,32,No
O000296,U04872,2025-08-24,Vegetables,1130,11,Yes
O000297,U04312,2025-05-18,Household,444,17,No
O000298,U03525,2025-02-27,Vegetables,1060,22,No
O000299,U07644,2025-05-17,Snacks,705,15,No
O000300,U02114,2025-12-17,Dairy,1118,28,No
O000301,U03541,2025-01-07,Snacks,430,17,No
O000302,U03035,2025-12-13,Dairy,871,11,No
O000303,U09927,2025-03-02,Personal Care,768,33,Yes
O000304,U07593,2025-05-29,Household,565,11,No
O000305,U07818,2025-07-10,Personal Care,286,32,No
O000306,U00921,2025-05-24,Vegetables,569,16,Yes
O000307,U03866,2025-06-27,Dairy,500,10,No
O000308,U02676,2025-08-25,Fruits,588,16,No
O000309,U00454,2025-03-03,Dairy,897,14,Yes
