session_id,user_id,app_open,searched,add_to_cart,checkout,order_completed
S000001,U00509,Yes,No,Yes,Yes,Yes
S000002,U00433,Yes,Yes,Yes,Yes,No
S000003,U08303,Yes,Yes,No,Yes,No
S000004,U06608,Yes,Yes,Yes,Yes,No
S000005,U00083,Yes,Yes,Yes,Yes,Yes
S000006,U02059,Yes,Yes,Yes,No,No
S000007,U06810,Yes,Yes,Yes,Yes,Yes
S000008,U09216,Yes,Yes,No,Yes,No
S000009,U00796,Yes,Yes,Yes,Yes,Yes
S000010,U00481,Yes,Yes,Yes,Yes,No
S000011,U05976,Yes,Yes,Yes,No,No
S000012,U03158,Yes,Yes,Yes,Yes,Yes
S000013,U01056,Yes,No,No,No,Yes
S000014,U01600,Yes,Yes,Yes,Yes,Yes
S000015,U08548,Yes,Yes,Yes,No,Yes
S000016,U09515,Yes,Yes,Yes,No,No
S000017,U01090,Yes,Yes,Yes,Yes,Yes
S000018,U02719,Yes,Yes,Yes,Yes,No
S000019,U01208,Yes,Yes,Yes,Yes,No
S000020,U08537,Yes,Yes,Yes,Yes,Yes
S000021,U07092,Yes,Yes,Yes,No,Yes
S000022,U09150,Yes,Yes,Yes,Yes,No
S000023,U01332,Yes,No,Yes,Yes,No
S000024,U00189,Yes,Yes,No,Yes,No
S000025,U01412,Yes,No,Yes,No,Yes
S000026,U09201,Yes,Yes,Yes,Yes,Yes
S000027,U04076,Yes,Yes,No,Yes,Yes
S000028,U07703,Yes,Yes,Yes,Yes,No
S000029,U01709,Yes,Yes,Yes,Yes,No
S000030,U00939,Yes,Yes,Yes,Yes,No
S000031,U05710,Yes,Yes,Yes,No,Yes
S000032,U07142,Yes,Yes,Yes,Yes,No
S000033,U00138,Yes,Yes,Yes,No,Yes
S000034,U02546,Yes,Yes,Yes,Yes,No
S000035,U08006,Yes,Yes,Yes,Yes,Yes
S000036,U05647,Yes,Yes,Yes,No,Yes
S000037,U09648,Yes,Yes,No,Yes,Yes
S000038,U03048,Yes,Yes,Yes,No,Yes
S000039,U03148,Yes,Yes,Yes,Yes,Yes
S000040,U08517,Yes,Yes,Yes,Yes,Yes
S000041,U01720,Yes,Yes,Yes,Yes,Yes
S000042,U06985,Yes,No,No,No,Yes
S000043,U00970,Yes,Yes,Yes,Yes,Yes
S000044,U05973,Yes,Yes,Yes,Yes,No
S000045,U09094,Yes,Yes,Yes,Yes,Yes
S000046,U06478,Yes,No,No,Yes,Yes
S000047,U02053,Yes,Yes,Yes,No,Yes
S000048,U09346,Yes,Yes,No,Yes,Yes
S000049,U08745,Yes,No,Yes,No,Yes
S000050,U06680,Yes,Yes,Yes,Yes,Yes
S000051,U07601,Yes,Yes,No,No,Yes
S000052,U03096,Yes,Yes,Yes,Yes,No
S000053,U00960,Yes,Yes,Yes,Yes,No
S000054,U07720,Yes,Yes,Yes,Yes,Yes
S000055,U03233,Yes,Yes,No,No,No
S000056,U00597,Yes,Yes,No,Yes,Yes
S000057,U04442,Yes,Yes,Yes,No,Yes
S000058,U08040,Yes,Yes,Yes,Yes,Yes
S000059,U04168,Yes,Yes,Yes,Yes,Yes
S000060,U02864,Yes,Yes,Yes,No,Yes
S000061,U02618,Yes,Yes,Yes,Yes,Yes
S000062,U01828,Yes,Yes,Yes,No,No
S000063,U06382,Yes,Yes,Yes,No,Yes
S000064,U03744,Yes,Yes,Yes,Yes,Yes
S000065,U04851,Yes,Yes,Yes,Yes,Yes
S000066,U06964,Yes,Yes,Yes,Yes,Yes
S000067,U04804,Yes,No,Yes,Yes,No
S000068,U03901,Yes,Yes,No,Yes,Yes
S000069,U04433,Yes,Yes,No,No,No
S000070,U09361,Yes,Yes,Yes,Yes,Yes
S000071,U02670,Yes,No,Yes,Yes,No
S000072,U08180,Yes,Yes,Yes,No,Yes
S000073,U08588,Yes,No,No,No,Yes
S000074,U06691,Yes,Yes,Yes,No,No
S000075,U02388,Yes,Yes,No,No,Yes
S000076,U07964,Yes,Yes,Yes,Yes,No
S000077,U01674,Yes,No,No,No,Yes
S000078,U05517,Yes,Yes,Yes,Yes,No
S000079,U00266,Yes,Yes,Yes,No,Yes
S000080,U04604,Yes,Yes,Yes,Yes,Yes
S000081,U00210,Yes,Yes,Yes,No,Yes
S000082,U03171,Yes,Yes,No,Yes,No
S000083,U01949,Yes,Yes,Yes,Yes,No
S000084,U04180,Yes,Yes,No,Yes,Yes
S000085,U04555,Yes,No,Yes,Yes,No
S000086,U00013,Yes,Yes,Yes,Yes,Yes
S000087,U04504,Yes,Yes,Yes,No,Yes
S000088,U09371,Yes,Yes,Yes,No,No
S000089,U02724,Yes,Yes,Yes,Yes,Yes
S000090,U07073,Yes,Yes,Yes,No,No
S000091,U07181,Yes,Yes,Yes,Yes,Yes
S000092,U07394,Yes,Yes,Yes,No,Yes
S000093,U06460,Yes,Yes,Yes,Yes,No
S000094,U02638,Yes,Yes,Yes,Yes,No
S000095,U06939,Yes,Yes,Yes,No,Yes
S000096,U00779,Yes,Yes,Yes,No,No
S000097,U00504,Yes,Yes,No,Yes,No
S000098,U04129,Yes,Yes,No,No,Yes
S000099,U03296,Yes,Yes,Yes,Yes,No
S000100,U08490,Yes,Yes,No,No,Yes
S000101,U08402,Yes,Yes,Yes,Yes,Yes
S000102,U04100,Yes,Yes,Yes,Yes,Yes
S000103,U01190,Yes,Yes,Yes,No,No
S000104,U07378,Yes,No,Yes,Yes,Yes
S000105,U03840,Yes,Yes,Yes,No,No
S000106,U06855,Yes,Yes,Yes,No,Yes
S000107,U05762,Yes,Yes,Yes,Yes,No
S000108,U04281,Yes,Yes,Yes,Yes,No
S000109,U02517,Yes,Yes,Yes,Yes,No
S000110,U07539,Yes,Yes,Yes,Yes,Yes
S000111,U07242,Yes,Yes,No,Yes,Yes
S000112,U02181,Yes,Yes,Yes,No,Yes
S000113,U00341,Yes,Yes,No,No,Yes
S000114,U00384,Yes,Yes,No,No,No
S000115,U04300,Yes,Yes,No,Yes,Yes
S000116,U00193,Yes,Yes,Yes,Yes,No
S000117,U07431,Yes,Yes,No,Yes,No
S000118,U04120,Yes,Yes,Yes,Yes,Yes
S000119,U02321,Yes,Yes,Yes,Yes,Yes
S000120,U03248,Yes,Yes,No,No,No
S000121,U05362,Yes,No,Yes,No,No
S000122,U09458,Yes,Yes,Yes,Yes,Yes
S000123,U04286,Yes,Yes,Yes,No,Yes
S000124,U06264,Yes,Yes,Yes,No,No
S000125,U03435,Yes,Yes,Yes,Yes,Yes
S000126,U01693,Yes,Yes,No,No,Yes
S000127,U05015,Yes,Yes,Yes,Yes,No
S000128,U04721,Yes,Yes,Yes,Yes,Yes
S000129,U03342,Yes,Yes,Yes,Yes,No
S000130,U06682,Yes,Yes,Yes,Yes,Yes
