user_id,membership_type
U00001,Free
U00002,Premium
U00003,Free
U00004,Free
U00005,Premium
U00006,Free
U00007,Free
U00008,Premium
U00009,Free
U00010,Free
U00011,Premium
U00012,Free
U00013,Free
U00014,Premium
U00015,Premium
U00016,Free
U00017,Free
U00018,Free
U00019,Premium
U00020,Premium
U00021,Premium
U00022,Free
U00023,Free
U00024,Free
U00025,Free
U00026,Free
U00027,Free
U00028,Premium
U00029,Premium
U00030,Premium
U00031,Premium
U00032,Free
U00033,Free
U00034,Free
U00035,Free
U00036,Premium
U00037,Premium
U00038,Free
U00039,Free
U00040,Free
U00041,Free
U00042,Free
U00043,Premium
U00044,Free
U00045,Premium
U00046,Free
U00047,Free
U00048,Premium
U00049,Free
U00050,Free
U00051,Free
U00052,Premium
U00053,Premium
U00054,Free
U00055,Premium
U00056,Free
U00057,Free
U00058,Free
U00059,Premium
U00060,Free
U00061,Premium
U00062,Free
U00063,Free
U00064,Free
U00065,Free
U00066,Free
U00067,Premium
U00068,Free
U00069,Premium
U00070,Free
U00071,Premium
U00072,Free
U00073,Free
U00074,Free
U00075,Free
U00076,Free
U00077,Free
U00078,Premium
U00079,Free
U00080,Free
U00081,Free
U00082,Premium
U00083,Premium
U00084,Free
U00085,Premium
U00086,Free
U00087,Premium
U00088,Premium
U00089,Premium
U00090,Free
U00091,Free
U00092,Free
U00093,Free
U00094,Free
U00095,Free
U00096,Free
U00097,Free
U00098,Free
U00099,Free
U00100,Free
U00101,Free
U00102,Premium
U00103,Premium
U00104,Free
U00105,Free
U00106,Premium
U00107,Free
U00108,Free
U00109,Free
U00110,Premium
U00111,Free
U00112,Premium
U00113,Free
U00114,Premium
U00115,Free
U00116,Premium
U00117,Premium
U00118,Premium
U00119,Premium
U00120,Free
U00121,Premium
U00122,Free
U00123,Free
U00124,Free
U00125,Premium
U00126,Free
U00127,Premium
U00128,Free
U00129,Free
U00130,Free
U00131,Free
U00132,Free
U00133,Premium
U00134,Premium
U00135,Free
U00136,Free
U00137,Free
U00138,Premium
U00139,Free
U00140,Free
U00141,Premium
U00142,Premium
U00143,Free
U00144,Free
U00145,Free
U00146,Free
U00147,Premium
U00148,Free
U00149,Free
U00150,Free
U00151,Free
U00152,Free
U00153,Free
U00154,Premium
U00155,Free
U00156,Free
U00157,Premium
U00158,Free
U00159,Premium
U00160,Premium
U00161,Free
U00162,Free
U00163,Free
U00164,Free
U00165,Free
U00166,Premium
U00167,Premium
U00168,Free
U00169,Free
U00170,Free
U00171,Free
U00172,Free
U00173,Free
U00174,Premium
U00175,Free
U00176,Free
U00177,Free
U00178,Premium
U00179,Premium
U00180,Premium
U00181,Premium
U00182,Free
U00183,Free
U00184,Free
U00185,Free
U00186,Free
U00187,Premium
U00188,Premium
U00189,Premium
U00190,Free
U00191,Free
U00192,Free
U00193,Free
U00194,Free
U00195,Free
U00196,Free
U00197,Premium
U00198,Free
U00199,Premium
U00200,Free
U00201,Free
U00202,Free
U00203,Free
U00204,Free
U00205,Premium
U00206,Premium
U00207,Free
U00208,Premium
U00209,Free
U00210,Free
U00211,Free
U00212,Free
U00213,Free
U00214,Free
U00215,Free
U00216,Premium
U00217,Free
U00218,Free
U00219,Free
U00220,Free
U00221,Premium
U00222,Free
U00223,Free
U00224,Premium
U00225,Premium
U00226,Premium
U00227,Free
U00228,Free
U00229,Free
U00230,Free
U00231,Free
U00232,Free
U00233,Premium
U00234,Premium
U00235,Free
U00236,Free
U00237,Premium
U00238,Premium
U00239,Premium
U00240,Free
U00241,Free
U00242,Free
U00243,Free
U00244,Free
U00245,Free
U00246,Free
U00247,Free
U00248,Premium
U00249,Free
U00250,Free
U00251,Premium
U00252,Free
U00253,Free
U00254,Premium
U00255,Free
U00256,Free
U00257,Free
U00258,Free
U00259,Premium
U00260,Premium
U00261,Free
U00262,Free
U00263,Free
U00264,Free
U00265,Free
U00266,Free
U00267,Free
U00268,Free
U00269,Free
U00270,Premium
U00271,Free
U00272,Premium
U00273,Free
U00274,Free
U00275,Free
U00276,Premium
U00277,Premium
U00278,Free
U00279,Premium
U00280,Free
U00281,Free
U00282,Free
U00283,Premium
U00284,Free
U00285,Free
U00286,Free
U00287,Premium
U00288,Free
U00289,Free
U00290,Premium
U00291,Free
U00292,Free
U00293,Premium
U00294,Free
U00295,Free
U00296,Premium
U00297,Free
U00298,Free
U00299,Free
U00300,Free
U00301,Free
U00302,Premium
U00303,Premium
U00304,Free
U00305,Free
U00306,Premium
U00307,Free
U00308,Free
U00309,Free
U00310,Premium
U00311,Premium
U00312,Free
U00313,Free
U00314,Free
U00315,Free
U00316,Premium
U00317,Premium
U00318,Premium
U00319,Premium
U00320,Free
U00321,Free
U00322,Premium
U00323,Free
U00324,Free
U00325,Premium
U00326,Free
U00327,Free
U00328,Free
U00329,Free
U00330,Premium
U00331,Free
U00332,Free
U00333,Free
U00334,Premium
U00335,Premium
U00336,Free
U00337,Free
U00338,Free
U00339,Free
U00340,Free
U00341,Free
U00342,Free
U00343,Premium
U00344,Free
U00345,Free
U00346,Free
U00347,Free
U00348,Free
U00349,Premium
U00350,Premium
U00351,Premium
U00352,Free
U00353,Free
U00354,Free
U00355,Free
U00356,Free
U00357,Free
U00358,Premium
U00359,Free
U00360,Free
U00361,Premium
U00362,Free
U00363,Free
U00364,Free
U00365,Free
U00366,Free
U00367,Premium
U00368,Free
U00369,Free
U00370,Free
U00371,Free
U00372,Free
U00373,Free
U00374,Free
U00375,Free
U00376,Free
U00377,Free
U00378,Free
U00379,Premium
U00380,Free
U00381,Free
U00382,Free
U00383,Premium
U00384,Free
U00385,Free
U00386,Free
U00387,Free
U00388,Free
U00389,Premium
U00390,Free
U00391,Premium
U00392,Premium
U00393,Premium
U00394,Free
U00395,Premium
U00396,Premium
U00397,Premium
U00398,Free
U00399,Free
U00400,Free
U00401,Free
U00402,Premium
U00403,Premium
U00404,Premium
U00405,Free
U00406,Free
U00407,Premium
U00408,Free
U00409,Free
U00410,Premium
U00411,Premium
U00412,Free
U00413,Premium
U00414,Free
U00415,Free
U00416,Free
U00417,Free
U00418,Premium
U00419,Premium
U00420,Premium
U00421,Free
U00422,Free
U00423,Free
U00424,Free
U00425,Free
U00426,Free
U00427,Premium
U00428,Free
U00429,Premium
U00430,Premium
U00431,Premium
U00432,Free
U00433,Free
U00434,Premium
U00435,Free
U00436,Premium
U00437,Free
U00438,Free
U00439,Free
U00440,Free
U00441,Free
U00442,Free
U00443,Free
U00444,Free
U00445,Free
U00446,Premium
U00447,Free
U00448,Premium
U00449,Free
U00450,Free
U00451,Premium
U00452,Free
U00453,Free
U00454,Free
U00455,Premium
U00456,Free
U00457,Free
U00458,Premium
U00459,Free
U00460,Free
U00461,Free
U00462,Free
U00463,Free
U00464,Free
U00465,Free
U00466,Free
U00467,Free
U00468,Free
U00469,Free
U00470,Premium
U00471,Premium
U00472,Free
U00473,Premium
U00474,Premium
U00475,Free
U00476,Free
U00477,Free
U00478,Premium
U00479,Premium
U00480,Free
U00481,Free
U00482,Free
U00483,Free
U00484,Free
U00485,Premium
U00486,Free
U00487,Premium
U00488,Premium
U00489,Free
U00490,Premium
U00491,Free
U00492,Free
U00493,Free
U00494,Free
U00495,Free
U00496,Free
U00497,Free
U00498,Free
U00499,Free
U00500,Free
U00501,Free
U00502,Free
U00503,Free
U00504,Premium
U00505,Free
U00506,Free
U00507,Free
U00508,Premium
U00509,Free
U00510,Premium
U00511,Free
U00512,Free
U00513,Free
U00514,Free
U00515,Premium
U00516,Free
U00517,Premium
U00518,Free
U00519,Free
U00520,Premium
U00521,Free
U00522,Free
U00523,Premium
U00524,Free
U00525,Free
U00526,Premium
U00527,Premium
U00528,Free
U00529,Free
U00530,Premium
U00531,Premium
U00532,Free
U00533,Free
U00534,Premium
U00535,Free
U00536,Free
U00537,Free
U00538,Free
U00539,Free
U00540,Premium
U00541,Premium
U00542,Free
U00543,Free
U00544,Free
U00545,Premium
U00546,Free
U00547,Free
U00548,Free
U00549,Free
U00550,Premium
U00551,Free
U00552,Free
U00553,Free
U00554,Premium
U00555,Free
U00556,Premium
U00557,Premium
U00558,Premium
U00559,Premium
U00560,Free
U00561,Free
U00562,Free
U00563,Premium
U00564,Premium
U00565,Free
U00566,Premium
U00567,Premium
U00568,Premium
U00569,Free
U00570,Free
U00571,Free
U00572,Free
U00573,Free
U00574,Free
U00575,Premium
U00576,Free
U00577,Premium
U00578,Free
U00579,Premium
U00580,Free
U00581,Free
U00582,Free
U00583,Free
U00584,Free
U00585,Free
U00586,Premium
U00587,Free
U00588,Premium
U00589,Free
U00590,Free
U00591,Free
U00592,Free
U00593,Free
U00594,Free
U00595,Free
U00596,Free
U00597,Free
U00598,Free
U00599,Free
U00600,Free
U00601,Free
U00602,Free
U00603,Free
U00604,Free
U00605,Free
U00606,Free
U00607,Premium
U00608,Free
U00609,Free
U00610,Premium
U00611,Free
U00612,Free
U00613,Free
U00614,Free
U00615,Premium
U00616,Premium
U00617,Free
U00618,Premium
U00619,Premium
U00620,Free
U00621,Free
U00622,Free
U00623,Premium
U00624,Premium
U00625,Free
U00626,Free
U00627,Free
U00628,Free
U00629,Free
U00630,Free
U00631,Free
U00632,Free
U00633,Free
U00634,Free
U00635,Free
U00636,Premium
U00637,Free
U00638,Premium
U00639,Free
U00640,Free
U00641,Premium
U00642,Free
U00643,Premium
U00644,Free
U00645,Free
U00646,Free
U00647,Free
U00648,Free
U00649,Premium
U00650,Free
U00651,Free
U00652,Free
U00653,Free
U00654,Premium
U00655,Premium
U00656,Free
U00657,Premium
U00658,Free
U00659,Free
U00660,Free
U00661,Premium
U00662,Free
U00663,Premium
U00664,Free
U00665,Free
U00666,Premium
U00667,Premium
U00668,Premium
U00669,Free
U00670,Free
U00671,Free
U00672,Free
U00673,Free
U00674,Premium
U00675,Premium
U00676,Free
U00677,Premium
U00678,Free
U00679,Premium
U00680,Free
U00681,Free
U00682,Free
U00683,Free
U00684,Free
U00685,Free
U00686,Premium
U00687,Free
U00688,Premium
U00689,Premium
U00690,Free
U00691,Free
U00692,Free
U00693,Free
U00694,Free
U00695,Free
U00696,Free
U00697,Free
U00698,Premium
U00699,Free
U00700,Free
U00701,Premium
U00702,Free
U00703,Free
U00704,Premium
U00705,Free
U00706,Premium
U00707,Free
U00708,Free
U00709,Premium
U00710,Premium
U00711,Premium
U00712,Premium
U00713,Free
U00714,Free
U00715,Premium
U00716,Free
U00717,Free
U00718,Premium
U00719,Free
U00720,Free
U00721,Premium
U00722,Free
U00723,Free
U00724,Premium
U00725,Free
U00726,Free
U00727,Premium
U00728,Free
U00729,Premium
U00730,Free
U00731,Premium
U00732,Free
U00733,Free
U00734,Free
U00735,Premium
U00736,Free
U00737,Premium
U00738,Free
U00739,Premium
U00740,Free
U00741,Premium
U00742,Free
U00743,Free
U00744,Free
U00745,Free
U00746,Free
U00747,Free
U00748,Free
U00749,Free
U00750,Free
U00751,Free
U00752,Free
U00753,Premium
U00754,Free
U00755,Free
U00756,Free
U00757,Free
U00758,Free
U00759,Free
U00760,Free
U00761,Premium
U00762,Premium
U00763,Free
U00764,Free
U00765,Free
U00766,Premium
U00767,Premium
U00768,Free
U00769,Free
U00770,Premium
U00771,Free
U00772,Premium
U00773,Premium
U00774,Premium
U00775,Free
U00776,Free
U00777,Premium
U00778,Premium
U00779,Free
U00780,Free
U00781,Premium
U00782,Free
U00783,Premium
U00784,Premium
U00785,Free
U00786,Free
U00787,Free
U00788,Free
U00789,Free
U00790,Free
U00791,Premium
U00792,Premium
U00793,Free
U00794,Free
U00795,Free
U00796,Free
U00797,Free
U00798,Free
U00799,Premium
U00800,Free
U00801,Free
U00802,Free
U00803,Premium
U00804,Free
U00805,Free
U00806,Premium
U00807,Premium
U00808,Premium
U00809,Free
U00810,Free
U00811,Premium
U00812,Free
U00813,Free
U00814,Premium
U00815,Free
U00816,Free
U00817,Free
U00818,Premium
U00819,Premium
U00820,Premium
U00821,Free
U00822,Free
U00823,Premium
U00824,Free
U00825,Free
U00826,Free
U00827,Premium
U00828,Free
U00829,Free
U00830,Free
U00831,Free
U00832,Premium
U00833,Free
U00834,Free
U00835,Free
U00836,Premium
U00837,Premium
U00838,Free
U00839,Free
U00840,Free
U00841,Free
U00842,Free
U00843,Free
U00844,Free
U00845,Free
U00846,Free
U00847,Free
U00848,Free
U00849,Premium
U00850,Free
U00851,Premium
U00852,Free
U00853,Free
U00854,Free
U00855,Free
U00856,Free
U00857,Free
U00858,Premium
U00859,Free
U00860,Free
U00861,Free
U00862,Free
U00863,Free
U00864,Free
U00865,Free
U00866,Free
U00867,Free
U00868,Premium
U00869,Free
U00870,Premium
U00871,Free
U00872,Premium
U00873,Free
U00874,Free
U00875,Free
U00876,Free
U00877,Free
U00878,Free
U00879,Free
U00880,Free
U00881,Free
U00882,Free
U00883,Premium
U00884,Premium
U00885,Premium
U00886,Free
U00887,Free
U00888,Free
U00889,Free
U00890,Free
U00891,Free
U00892,Free
U00893,Premium
U00894,Free
U00895,Free
U00896,Premium
U00897,Premium
U00898,Free
U00899,Free
U00900,Free
U00901,Free
U00902,Free
U00903,Premium
U00904,Premium
U00905,Free
U00906,Free
U00907,Free
U00908,Premium
U00909,Premium
U00910,Premium
U00911,Free
U00912,Free
U00913,Premium
U00914,Premium
U00915,Premium
U00916,Free
U00917,Free
U00918,Premium
U00919,Free
U00920,Free
U00921,Free
U00922,Free
U00923,Free
U00924,Free
U00925,Premium
U00926,Free
U00927,Free
U00928,Free
U00929,Free
U00930,Free
U00931,Free
U00932,Free
U00933,Free
U00934,Free
U00935,Free
U00936,Free
U00937,Free
U00938,Free
U00939,Free
U00940,Free
U00941,Free
U00942,Free
U00943,Free
U00944,Premium
U00945,Free
U00946,Premium
U00947,Premium
U00948,Free
U00949,Free
U00950,Premium
U00951,Free
U00952,Free
U00953,Free
U00954,Free
U00955,Free
U00956,Free
U00957,Free
U00958,Premium
U00959,Free
U00960,Premium
U00961,Free
U00962,Premium
U00963,Premium
U00964,Free
U00965,Free
U00966,Free
U00967,Premium
U00968,Free
U00969,Premium
U00970,Premium
U00971,Premium
U00972,Free
U00973,Premium
U00974,Free
U00975,Free
U00976,Premium
U00977,Free
U00978,Free
U00979,Free
U00980,Free
U00981,Free
U00982,Free
U00983,Free
U00984,Free
U00985,Premium
U00986,Free
U00987,Free
U00988,Free
U00989,Free
U00990,Free
U00991,Free
U00992,Free
U00993,Free
U00994,Premium
U00995,Free
U00996,Free
U00997,Premium
U00998,Free
U00999,Free
U01000,Premium
U01001,Free
U01002,Free
U01003,Free
U01004,Free
U01005,Premium
U01006,Free
U01007,Free
U01008,Free
U01009,Free
U01010,Free
U01011,Free
U01012,Premium
U01013,Free
U01014,Premium
U01015,Free
U01016,Free
U01017,Free
U01018,Free
U01019,Free
U01020,Free
U01021,Free
U01022,Free
U01023,Free
U01024,Free
U01025,Premium
U01026,Free
U01027,Free
U01028,Premium
U01029,Free
U01030,Free
U01031,Free
U01032,Premium
U01033,Free
U01034,Free
U01035,Free
U01036,Free
U01037,Free
U01038,Free
U01039,Free
U01040,Free
U01041,Premium
U01042,Free
U01043,Free
U01044,Free
U01045,Premium
U01046,Free
U01047,Free
U01048,Free
U01049,Free
U01050,Premium
U01051,Free
U01052,Free
U01053,Free
U01054,Premium
U01055,Premium
U01056,Free
U01057,Premium
U01058,Free
U01059,Free
U01060,Free
U01061,Free
U01062,Free
U01063,Free
U01064,Premium
U01065,Free
U01066,Free
U01067,Free
U01068,Free
U01069,Premium
U01070,Free
U01071,Free
U01072,Free
U01073,Free
U01074,Premium
U01075,Premium
U01076,Premium
U01077,Premium
U01078,Premium
U01079,Free
U01080,Free
U01081,Free
U01082,Premium
U01083,Free
U01084,Free
U01085,Free
U01086,Free
U01087,Free
U01088,Premium
U01089,Free
U01090,Premium
U01091,Free
U01092,Free
U01093,Free
U01094,Free
U01095,Premium
U01096,Free
U01097,Free
U01098,Free
U01099,Free
U01100,Free
U01101,Premium
U01102,Premium
U01103,Premium
U01104,Free
U01105,Free
U01106,Free
U01107,Premium
U01108,Free
U01109,Premium
U01110,Free
U01111,Premium
U01112,Free
U01113,Free
U01114,Premium
U01115,Premium
U01116,Free
U01117,Premium
U01118,Free
U01119,Free
U01120,Free
U01121,Free
U01122,Free
U01123,Free
U01124,Free
U01125,Premium
U01126,Free
U01127,Free
U01128,Free
U01129,Premium
U01130,Premium
U01131,Premium
U01132,Free
U01133,Free
U01134,Free
U01135,Premium
U01136,Premium
U01137,Premium
U01138,Free
U01139,Free
U01140,Free
U01141,Free
U01142,Premium
U01143,Free
U01144,Free
U01145,Premium
U01146,Premium
U01147,Free
U01148,Premium
U01149,Free
U01150,Free
U01151,Free
U01152,Free
U01153,Premium
U01154,Premium
U01155,Free
U01156,Free
U01157,Free
U01158,Free
U01159,Free
U01160,Premium
U01161,Free
U01162,Free
U01163,Free
U01164,Free
U01165,Premium
U01166,Premium
U01167,Free
U01168,Free
U01169,Free
U01170,Free
U01171,Free
U01172,Premium
U01173,Free
U01174,Premium
U01175,Free
U01176,Free
U01177,Premium
U01178,Free
U01179,Free
U01180,Premium
U01181,Free
U01182,Premium
U01183,Free
U01184,Premium
U01185,Free
U01186,Free
U01187,Free
U01188,Free
U01189,Premium
