user_id,age,city,occupation,acquisition_source,membership,signup_date,churned,days_since_last_order
U00001,24,Mumbai,Working Professional,Google Ads,Free,2024-07-11,No,15
U00002,37,Mumbai,Working Professional,Google Ads,Premium,2025-09-06,No,21
U00003,46,Pune,Working Professional,Instagram Ads,Free,2025-03-09,No,27
U00004,32,Mumbai,Student,Referral,Free,2024-03-14,No,16
U00005,28,Pune,Student,Organic,Premium,2024-03-14,No,18
U00006,25,Delhi,Student,Organic,Free,2025-09-16,No,19
U00007,46,Hyderabad,Student,Referral,Free,2025-10-25,Yes,40
U00008,38,Pune,Working Professional,Instagram Ads,Premium,2024-09-19,No,27
U00009,24,Delhi,Working Professional,Organic,Free,2024-03-26,No,17
U00010,43,Mumbai,Student,Influencer,Free,2024-02-27,Yes,114
U00011,36,Delhi,Student,Organic,Premium,2025-10-22,No,21
U00012,40,Hyderabad,Student,Instagram Ads,Free,2025-12-26,No,14
U00013,28,Bangalore,Family,Google Ads,Free,2025-02-20,No,16
U00014,28,Bangalore,Working Professional,Google Ads,Premium,2024-10-07,No,2
U00015,41,Delhi,Family,Google Ads,Premium,2025-08-29,Yes,92
U00016,38,Delhi,Family,Instagram Ads,Free,2024-07-26,No,18
U00017,21,Delhi,Working Professional,Google Ads,Free,2024-05-22,No,3
U00018,25,Mumbai,Working Professional,Google Ads,Free,2025-02-16,No,14
U00019,41,Bangalore,Student,Instagram Ads,Premium,2025-08-17,No,26
U00020,20,Pune,Working Professional,Influencer,Premium,2024-02-21,Yes,98
U00021,39,Bangalore,Student,Organic,Premium,2024-01-17,Yes,84
U00022,38,Mumbai,Family,Instagram Ads,Free,2025-12-30,No,25
U00023,19,Chennai,Student,Instagram Ads,Free,2025-02-22,No,3
U00024,41,Hyderabad,Working Professional,Referral,Free,2025-02-27,No,7
U00025,29,Chennai,Student,Google Ads,Free,2024-07-19,No,3
U00026,47,Bangalore,Family,Influencer,Free,2025-02-21,Yes,71
U00027,23,Delhi,Student,Referral,Free,2025-03-17,No,25
U00028,19,Delhi,Working Professional,Influencer,Premium,2025-05-16,No,12
U00029,49,Hyderabad,Working Professional,Google Ads,Premium,2024-03-22,Yes,35
U00030,45,Delhi,Working Professional,Google Ads,Premium,2025-10-01,Yes,31
U00031,38,Mumbai,Working Professional,Google Ads,Premium,2024-03-20,No,20
U00032,18,Bangalore,Family,Organic,Free,2024-07-07,No,5
